stats_type,popgrp,age_group_m3,Prov_En_1990,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,Anhui,0.00815903213514205,1,0.999397145020817,-40
within-group,4,0_14,Beijing,0.00187020855252295,0.9991539733374192,0.999397145020817,-40
within-group,7,0_14,Fujian,0.00576178991622385,1,0.999397145020817,-40
within-group,10,0_14,Gansu,0.00347206328980528,0.9998954915749104,0.999397145020817,-40
within-group,13,0_14,Guangdong,0.01713953789737434,1,0.999397145020817,-40
within-group,16,0_14,Guangxi,0.00854635802776593,1,0.999397145020817,-40
within-group,19,0_14,Guizhou,0.00666968621359777,1,0.999397145020817,-40
within-group,22,0_14,Hainan,0.00145309002585493,1,0.999397145020817,-40
within-group,25,0_14,Hebei,0.01047287258744416,0.9991168791273052,0.999397145020817,-40
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.9942352733161032,0.999397145020817,-40
within-group,31,0_14,Henan,0.0158942652598008,1,0.999397145020817,-40
within-group,34,0_14,Hubei,0.0067778895560246,1,0.999397145020817,-40
within-group,37,0_14,Hunan,0.00922473636990096,1,0.999397145020817,-40
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.9887423453471584,0.999397145020817,-40
within-group,43,0_14,Jiangsu,0.00900905712673314,1,0.999397145020817,-40
within-group,46,0_14,Jiangxi,0.00716065594808189,1,0.999397145020817,-40
within-group,49,0_14,Jilin,0.00184261845024983,0.9976793547014872,0.999397145020817,-40
within-group,52,0_14,Liaoning,0.00341922056900947,0.9972146673988618,0.999397145020817,-40
within-group,55,0_14,Ningxia,0.00105941200851006,0.9999355585254088,0.999397145020817,-40
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.9996368964997376,0.999397145020817,-40
within-group,61,0_14,Shaanxi,0.00494501940169968,0.9997400020509346,0.999397145020817,-40
within-group,64,0_14,Shandong,0.0132681820105458,0.9996406920055548,0.999397145020817,-40
within-group,67,0_14,Shanghai,0.00175819768793889,1,0.999397145020817,-40
within-group,70,0_14,Shanxi,0.00408244315435452,0.998847862985234,0.999397145020817,-40
within-group,73,0_14,Sichuan,0.01337774208945019,0.9999975042284588,0.999397145020817,-40
within-group,76,0_14,Tianjin,0.00134811687091403,0.9990032539113304,0.999397145020817,-40
within-group,79,0_14,Tibet,6.44329308226729e-4,0.9998987065578288,0.999397145020817,-40
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.9998859954706364,0.999397145020817,-40
within-group,85,0_14,Yunnan,0.006666392519298,1,0.999397145020817,-40
within-group,88,0_14,Zhejiang,0.00606367244250025,1,0.999397145020817,-40
within-group,1,0_14,Anhui,0.00815903213514205,1,0.9991983633851892,-39
within-group,4,0_14,Beijing,0.00187020855252295,0.998952492748648,0.9991983633851892,-39
within-group,7,0_14,Fujian,0.00576178991622385,1,0.9991983633851892,-39
within-group,10,0_14,Gansu,0.00347206328980528,0.9998599430328908,0.9991983633851892,-39
within-group,13,0_14,Guangdong,0.01713953789737434,1,0.9991983633851892,-39
within-group,16,0_14,Guangxi,0.00854635802776593,1,0.9991983633851892,-39
within-group,19,0_14,Guizhou,0.00666968621359777,1,0.9991983633851892,-39
within-group,22,0_14,Hainan,0.00145309002585493,1,0.9991983633851892,-39
within-group,25,0_14,Hebei,0.01047287258744416,0.998939870724228,0.9991983633851892,-39
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.9910139226618292,0.9991983633851892,-39
within-group,31,0_14,Henan,0.0158942652598008,1,0.9991983633851892,-39
within-group,34,0_14,Hubei,0.0067778895560246,1,0.9991983633851892,-39
within-group,37,0_14,Hunan,0.00922473636990096,1,0.9991983633851892,-39
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.986073306138769,0.9991983633851892,-39
within-group,43,0_14,Jiangsu,0.00900905712673314,1,0.9991983633851892,-39
within-group,46,0_14,Jiangxi,0.00716065594808189,1,0.9991983633851892,-39
within-group,49,0_14,Jilin,0.00184261845024983,0.9963587161648132,0.9991983633851892,-39
within-group,52,0_14,Liaoning,0.00341922056900947,0.9965607113954248,0.9991983633851892,-39
within-group,55,0_14,Ningxia,0.00105941200851006,0.9997733180719066,0.9991983633851892,-39
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.9993455794939172,0.9991983633851892,-39
within-group,61,0_14,Shaanxi,0.00494501940169968,0.9996271851184496,0.9991983633851892,-39
