stats_type,popgrp,age_group_m3,Prov_En,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,Anhui,0.01410859002896082,1,0.9994893618766236,-40
within-group,4,0_14,Beijing,0.00192930046313546,0.9999963734358668,0.9994893618766236,-40
within-group,7,0_14,Fujian,0.00836499261741459,1,0.9994893618766236,-40
within-group,10,0_14,Gansu,0.00553588132726672,0.9998846266639196,0.9994893618766236,-40
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.9994893618766236,-40
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.9994893618766236,-40
within-group,19,0_14,Guizhou,0.00936294712703839,1,0.9994893618766236,-40
within-group,22,0_14,Hainan,0.00191883150879834,1,0.9994893618766236,-40
within-group,25,0_14,Hebei,0.01568965512254203,0.9996061006242488,0.9994893618766236,-40
within-group,28,0_14,Heilongjiang,0.00828162665775682,0.9926331918432822,0.9994893618766236,-40
within-group,31,0_14,Henan,0.02215767763694521,1,0.9994893618766236,-40
within-group,34,0_14,Hubei,0.01358416131756542,1,0.9994893618766236,-40
within-group,37,0_14,Hunan,0.01500601692425047,1,0.9994893618766236,-40
within-group,40,0_14,Jiangsu,0.01408569897696787,1,0.9994893618766236,-40
within-group,43,0_14,Jiangxi,0.0106032824765449,1,0.9994893618766236,-40
within-group,46,0_14,Jilin,0.0057061550879989,0.9971230859252408,0.9994893618766236,-40
within-group,49,0_14,Liaoning,0.00810496095245003,0.998649139010987,0.9994893618766236,-40
within-group,52,0_14,Neimenggu,0.00539920110087013,0.993296209234474,0.9994893618766236,-40
within-group,55,0_14,Ningxia,0.00138936690749664,0.9996730405882052,0.9994893618766236,-40
within-group,58,0_14,Qinghai,0.00121246590503282,0.9992810112361452,0.9994893618766236,-40
within-group,61,0_14,Shaanxi,0.00839880110366433,0.9998791110910932,0.9994893618766236,-40
within-group,64,0_14,Shandong,0.01985728082783897,0.9999984349913322,0.9994893618766236,-40
within-group,67,0_14,Shanghai,0.00215114145344414,1,0.9994893618766236,-40
within-group,70,0_14,Shanxi,0.0071604878943872,0.9997950321060212,0.9994893618766236,-40
within-group,73,0_14,Sichuan_Chongqing,0.02198023969698392,0.9999961148895088,0.9994893618766236,-40
within-group,76,0_14,Tianjin,0.00176456591592749,1,0.9994893618766236,-40
within-group,79,0_14,Xinjiang,0.00443144600832027,0.9997114614790238,0.9994893618766236,-40
within-group,82,0_14,Xizang,6.912305121974087e-4,0.9996015554297816,0.9994893618766236,-40
within-group,85,0_14,Yunnan,0.01035317309808648,1,0.9994893618766236,-40
within-group,88,0_14,Zhejiang,0.00853805721472757,1,0.9994893618766236,-40
within-group,1,0_14,Anhui,0.01410859002896082,1,0.99927744203913,-39
within-group,4,0_14,Beijing,0.00192930046313546,0.9999759590587348,0.99927744203913,-39
within-group,7,0_14,Fujian,0.00836499261741459,1,0.99927744203913,-39
within-group,10,0_14,Gansu,0.00553588132726672,0.9998133679532074,0.99927744203913,-39
within-group,13,0_14,Guangdong,0.01662764777845244,1,0.99927744203913,-39
within-group,16,0_14,Guangxi,0.01247369584553776,1,0.99927744203913,-39
